airpointsNumber,bookingReference,arrivalAirport,departureAirport,departureDate,departureTime,emailID,flightNumber,fullName,mealSelected,seatNumber
90329794,DUA4VV,BNE,WLG,2025-04-30,15:03,michael.c@example.com,NZ764,Michael Chen,Vegetarian,11A
90329794,STA6NI,PER,ADL,2025-05-11,21:16,michael.c@example.com,NZ577,Michael Chen,Vegan,23C
90329794,QBU6KJ,WLG,BNE,2025-04-25,18:03,michael.c@example.com,NZ101,Michael Chen,,12A
90329794,GCI7NE,ADL,PER,2025-05-10,09:59,michael.c@example.com,NZ202,Michael Chen,Vegan,15C
38841085,VDZ3JS,SYD,MEL,2025-04-25,11:29,ratan@example.com,NZ101,Ratan Kumar,vegetarian,12A
38841085,WJW3SH,MEL,BNE,2025-05-14,17:32,ratan@example.com,NZ334,Ratan Kumar,,17A
38841085,BLA5JN,BNE,MEL,2025-05-10,07:47,ratan@example.com,NZ202,Ratan Kumar,,15C
38841085,VES1SK,MEL,SYD,2025-04-27,05:23,ratan@example.com,NZ241,Ratan Kumar,,18C
25852563,BLZ3DX,PER,BNE,2025-04-29,14:58,david.lee@example.com,NZ422,David Lee,vegetarian,28C
25852563,RBA4XR,BNE,MEL,2025-05-10,20:44,david.lee@example.com,NZ202,David Lee,vegetarian,15C
25852563,ELP3RF,BNE,PER,2025-04-20,11:41,david.lee@example.com,NZ101,David Lee,,12A
25852563,GPH9NX,MEL,BNE,2025-05-17,22:41,david.lee@example.com,NZ463,David Lee,vegetarian,17C
87469683,KQS2NY,BNE,CHC,2025-04-28,06:53,emma.w@example.com,NZ499,Emma Wilson,Gluten Free,18A
87469683,LOE7VA,AKL,ADL,2025-05-12,11:17,emma.w@example.com,NZ205,Emma Wilson,,10C
87469683,EVI8LI,CHC,BNE,2025-04-25,12:36,emma.w@example.com,NZ101,Emma Wilson,Vegetarian,12A
87469683,ITH3ZO,ADL,AKL,2025-05-10,21:38,emma.w@example.com,NZ202,Emma Wilson,,15C
57665763,LEW0UI,AKL,MEL,2025-05-10,19:28,sarah.j@example.com,NZ202,Sarah Johnson,,15C
57665763,TAQ6VX,AKL,SYD,2025-04-21,05:47,sarah.j@example.com,NZ101,Sarah Johnson,Halal,12A
57665763,QXQ9IB,SYD,AKL,2025-05-01,14:38,sarah.j@example.com,NZ412,Sarah Johnson,,14B
57665763,NKR9HN,MEL,AKL,2025-05-17,10:12,sarah.j@example.com,NZ530,Sarah Johnson,,27B
46405941,SNJ3KL,ADL,WLG,2025-04-30,19:39,john.smith@example.com,NZ549,John Smith,Gluten Free,19B
46405941,CMX4RE,WLG,ADL,2025-05-10,22:55,john.smith@example.com,NZ202,John Smith,Vegetarian,15C
46405941,RMB7QD,AKL,ADL,2025-04-27,14:54,john.smith@example.com,NZ101,John Smith,Vegetarian,12A
46405941,GEJ5OX,CHC,BNE,2025-05-15,08:35,john.smith@example.com,NZ806,John Smith,Vegetarian,26C
57463301,UPS3BY,WLG,BNE,2025-04-28,09:31,mike@example.com,NZ470,Mike Parsons,,21B
57463301,AOJ2RH,BNE,WLG,2025-04-25,09:10,mike@example.com,NZ101,Mike Parsons,,12A
57463301,KBV5SP,CHC,MEL,2025-05-10,09:33,mike@example.com,NZ202,Mike Parsons,,15C
57463301,DIG6EZ,MEL,CHC,2025-05-11,10:40,mike@example.com,NZ152,Mike Parsons,,28B
