"airpointsNumber","bookingReference","arrivalAirport","departureAirport","departureDate","departureTime","emailID","flightNumber","fullName","seatNumber"
"45678901","BCJSZ","BNE","WLG","2025-04-30","15:03","michael.c@example.com","NZ764","Michael Chen","11A"
"45678901","BCUZW","PER","ADL","2025-05-11","21:16","michael.c@example.com","NZ577","Michael Chen","23C"
"45678901","MPQWH","WLG","BNE","2025-04-25","18:03","michael.c@example.com","NZ101","Michael Chen","12A"
"45678901","SGGWV","ADL","PER","2025-05-10","09:59","michael.c@example.com","NZ202","Michael Chen","15C"
"45446041","CPPMZ","SYD","MEL","2025-04-25","11:29","ratan@example.com","NZ101","Ratan Kumar","12A"
"45446041","LWNDJ","MEL","BNE","2025-05-14","17:32","ratan@example.com","NZ334","Ratan Kumar","17A"
"45446041","MWOWM","BNE","MEL","2025-05-10","07:47","ratan@example.com","NZ202","Ratan Kumar","15C"
"45446041","TSNRG","MEL","SYD","2025-04-27","05:23","ratan@example.com","NZ241","Ratan Kumar","18C"
"23456789","GWNXT","PER","BNE","2025-04-29","14:58","david.lee@example.com","NZ422","David Lee","28C"
"23456789","HRERS","BNE","MEL","2025-05-10","20:44","david.lee@example.com","NZ202","David Lee","15C"
"23456789","IRDMS","BNE","PER","2025-04-25","11:41","david.lee@example.com","NZ101","David Lee","12A"
"23456789","YZTPM","MEL","BNE","2025-05-17","22:41","david.lee@example.com","NZ463","David Lee","17C"
"34567890","LXAED","BNE","CHC","2025-04-28","06:53","emma.w@example.com","NZ499","Emma Wilson","18A"
"34567890","PGPQA","AKL","ADL","2025-05-12","11:17","emma.w@example.com","NZ205","Emma Wilson","10C"
"34567890","ROYGQ","CHC","BNE","2025-04-25","12:36","emma.w@example.com","NZ101","Emma Wilson","12A"
"34567890","WPSEO","ADL","AKL","2025-05-10","21:38","emma.w@example.com","NZ202","Emma Wilson","15C"
"87654321","HOWJW","AKL","MEL","2025-05-10","19:28","sarah.j@example.com","NZ202","Sarah Johnson","15C"
"87654321","KGVMF","AKL","SYD","2025-04-25","05:47","sarah.j@example.com","NZ101","Sarah Johnson","12A"
"87654321","QGORU","SYD","AKL","2025-05-01","14:38","sarah.j@example.com","NZ412","Sarah Johnson","14B"
"87654321","UIGJB","MEL","AKL","2025-05-17","10:12","sarah.j@example.com","NZ530","Sarah Johnson","27B"
"12345678","DVPAT","ADL","WLG","2025-04-30","19:39","john.smith@example.com","NZ549","John Smith","19B"
"12345678","REVZG","BNE","CHC","2025-05-10","22:55","john.smith@example.com","NZ202","John Smith","15C"
"12345678","RKMHQ","WLG","ADL","2025-04-25","18:56","john.smith@example.com","NZ101","John Smith","12A"
"12345678","VITWB","CHC","BNE","2025-05-15","08:35","john.smith@example.com","NZ806","John Smith","26C"
"78965123","AOAHV","WLG","BNE","2025-04-28","09:31","mike@example.com","NZ470","Mike Parsons","21B"
"78965123","JDVTG","BNE","WLG","2025-04-25","09:10","mike@example.com","NZ101","Mike Parsons","12A"
"78965123","ODYOJ","CHC","MEL","2025-05-10","09:33","mike@example.com","NZ202","Mike Parsons","15C"
"78965123","XVLVA","MEL","CHC","2025-05-11","10:40","mike@example.com","NZ152","Mike Parsons","28B"
